烏城,4786,4786,5000,烏城,名詞,固有名詞,一般,*,*,*,カラスジョウ,烏城,*,C,*,*,*
金烏城,4786,4786,5000,金烏城,名詞,固有名詞,一般,*,*,*,キンカラスジョウ,金烏城,*,C,*,*,*
山城,4786,4786,5000,山城,名詞,固有名詞,一般,*,*,*,ヤマジョウ,山城,*,C,*,*,*
居城,4786,4786,5000,居城,名詞,固有名詞,一般,*,*,*,キョジョウ,居城,*,C,*,*,*
高梁城,4786,4786,5000,高梁城,名詞,固有名詞,一般,*,*,*,タカハシジョウ,高梁城,*,C,*,*,*
備中松山城,4786,4786,5000,備中松山城,名詞,固有名詞,一般,*,*,*,ビッチュウマツヤマジョウ,備中松山城,*,C,*,*,*
深志城,4786,4786,5000,深志城,名詞,固有名詞,一般,*,*,*,フカシジョウ,深志城,*,C,*,*,*
府中城,4786,4786,5000,府中城,名詞,固有名詞,一般,*,*,*,フチュウジョウ,府中城,*,C,*,*,*
静岡城,4786,4786,5000,静岡城,名詞,固有名詞,一般,*,*,*,シズオカジョウ,静岡城,*,C,*,*,*
白鷺城,4786,4786,5000,白鷺城,名詞,固有名詞,一般,*,*,*,シラサギジョウ,白鷺城,*,C,*,*,*
北山城,4786,4786,5000,北山城,名詞,固有名詞,一般,*,*,*,キタヤマジョウ,北山城,*,C,*,*,*
酔月城,4786,4786,5000,酔月城,名詞,固有名詞,一般,*,*,*,スイガツジョウ,酔月城,*,C,*,*,*
白鶴城,4786,4786,5000,白鶴城,名詞,固有名詞,一般,*,*,*,ハクツルジョウ,白鶴城,*,C,*,*,*
菖蒲城,4786,4786,5000,菖蒲城,名詞,固有名詞,一般,*,*,*,ショウブジョウ,菖蒲城,*,C,*,*,*
喜春城,4786,4786,5000,喜春城,名詞,固有名詞,一般,*,*,*,キハルジョウ,喜春城,*,C,*,*,*
錦江城,4786,4786,5000,錦江城,名詞,固有名詞,一般,*,*,*,ニシキコウジョウ,錦江城,*,C,*,*,*
鶴山城,4786,4786,5000,鶴山城,名詞,固有名詞,一般,*,*,*,ツルヤマジョウ,鶴山城,*,C,*,*,*
鶴ヶ城,4786,4786,5000,鶴ヶ城,名詞,固有名詞,一般,*,*,*,ツルガジョウ,鶴ヶ城,*,C,*,*,*
会津若松城,4786,4786,5000,会津若松城,名詞,固有名詞,一般,*,*,*,アイヅワカマツジョウ,会津若松城,*,C,*,*,*
黒川城,4786,4786,5000,黒川城,名詞,固有名詞,一般,*,*,*,クロカワジョウ,黒川城,*,C,*,*,*
会津城,4786,4786,5000,会津城,名詞,固有名詞,一般,*,*,*,アイヅジョウ,会津城,*,C,*,*,*
鷹城,4786,4786,5000,鷹城,名詞,固有名詞,一般,*,*,*,タカジョウ,鷹城,*,C,*,*,*
兜山城,4786,4786,5000,兜山城,名詞,固有名詞,一般,*,*,*,カブトヤマジョウ,兜山城,*,C,*,*,*
一乗谷城,4786,4786,5000,一乗谷城,名詞,固有名詞,一般,*,*,*,イチジョウタニジョウ,一乗谷城,*,C,*,*,*
吹揚城,4786,4786,5000,吹揚城,名詞,固有名詞,一般,*,*,*,スイヨウジョウ,吹揚城,*,C,*,*,*
吹上城,4786,4786,5000,吹上城,名詞,固有名詞,一般,*,*,*,スイウエジョウ,吹上城,*,C,*,*,*
